web-scraper-order,web-scraper-start-url,product_name,price,discount,customer-review
"1749830011-26","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Sunon Shield Kursi Kantor Sandaran Rendah - Hitam","Rp1.199.000","40%","5 |"
"1749830011-27","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Informa G Neo Sora Kursi Kantor Sandaran Rendah - Hitam","Rp659.000","34%","5 |"
"1749830011-28","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Sunon Shield Kursi Kantor Sandaran Rendah - Biru","Rp1.199.000","40%","5 |"
"1749830011-29","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Sunon Saul Kursi Kantor Sandaran Tinggi - Abu-abu/putih","Rp1.999.000","20%","4.9 |"
"1749830011-30","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Sunon Shield Kursi Kantor Sandaran Rendah - Merah","Rp1.199.000","40%","4.8 |"
"1749830011-31","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Informa Ken Kursi Kantor Sandaran Rendah - Hijau","Rp759.000","36%","4.9 |"
"1749830011-32","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Informa G Kenedy Kursi Kantor Sandaran Rendah - Hitam","Rp1.059.000","41%","5 |"
"1749830011-33","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Informa Unai Kursi Kantor Sandaran Rendah - Cokelat","Rp951.440","44%","4.7 |"
"1749830011-34","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Informa Lumos Kursi Kantor Sandaran Tinggi - Hitam","Rp1.799.000","","4.8 |"
"1749830011-35","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Sunon Shield Kursi Kantor Sandaran Rendah - Krem","Rp1.199.000","40%","5 |"
"1749830011-36","https://www.ruparupa.com/c/furniture/kursi/kursi-kantor.html?itm_source=megamenu-kursi-kantor&itm_campaign=third-level&itm_device=desktop","Informa G Council Kursi Kantor Sandaran Rendah - Hitam","Rp1.959.000","18%","5 |"
